Breach_ID,Breach_Start_Date,Breach_End_Date,Year,Attack_Type,Attack_Vector,Vulnerability,Detection_Method,System_Affected,Breach_Severity,How_Resolved,Origin_Country,Target_Country,Target_Sector,Data_Compromised,Notes
3CB50BC8,2016-06-19,2016-07-01,2016,Insider Threat,Cloud Misconfiguration,Zero-Day Vulnerability,SIEM Alert,Cloud Storage,Medium,System Isolation,Italy,Pakistan,Telecom,Internal Documents,Automated synthetic breach entry for research dataset.
14ADBA52,2025-04-29,2025-05-02,2025,Malware Injection,Remote Desktop (RDP),Misconfigured S3 Bucket,Intrusion Detection System,Payment Server,Low,MFA Implemented,Nigeria,France,Banking,Transaction Logs,Automated synthetic breach entry for research dataset.
EB5111BC,2021-06-27,2021-07-07,2021,DDoS,Malicious Link,Weak Password Policy,User Reported,Database,Medium,Zero-Day Patch,South Korea,Italy,Healthcare,Transaction Logs,Automated synthetic breach entry for research dataset.
2F0541E1,2018-01-22,2018-01-30,2018,Insider Threat,Remote Desktop (RDP),Outdated Firewall,Intrusion Detection System,Cloud Storage,Critical,Firewall Updated,Japan,Pakistan,Energy,Financial Logs,Automated synthetic breach entry for research dataset.
FFF82B9E,2019-08-05,2019-08-10,2019,Phishing,Malicious Link,Unpatched VPN,Intrusion Detection System,Cloud Storage,Medium,Traffic Filtering,USA,Netherlands,Government,Customer Data,Automated synthetic breach entry for research dataset.
AB9D62FB,2022-09-08,2022-09-20,2022,Zero-Day Exploit,Remote Desktop (RDP),Privilege Escalation Bug,External Audit,Email System,High,Firewall Updated,Canada,Australia,Tech,System Configurations,Automated synthetic breach entry for research dataset.
B04C5302,2018-12-05,2018-12-15,2018,DDoS,Compromised Vendor,Unpatched VPN,Intrusion Detection System,Email System,Medium,Firewall Updated,India,Germany,Energy,Passwords,Automated synthetic breach entry for research dataset.
CE3D0975,2020-03-25,2020-04-04,2020,Malware Injection,Email Phishing,Weak Password Policy,Unusual Activity Detection,Email System,Low,Traffic Filtering,China,Germany,Tech,User Tokens,Automated synthetic breach entry for research dataset.
353A8143,2020-01-10,2020-01-15,2020,Supply Chain Attack,USB Infection,Unpatched VPN,SIEM Alert,Email System,High,System Isolation,France,Iran,Transportation,Transaction Logs,Automated synthetic breach entry for research dataset.
113428D8,2017-07-20,2017-07-25,2017,Ransomware,Web Exploit,Privilege Escalation Bug,SIEM Alert,Email System,Low,Firewall Updated,Nigeria,USA,Manufacturing,Financial Logs,Automated synthetic breach entry for research dataset.
6CE826E6,2015-08-07,2015-08-18,2015,Malware Injection,USB Infection,Unpatched VPN,User Reported,Database,Critical,Zero-Day Patch,India,China,Government,Employee Records,Automated synthetic breach entry for research dataset.
49021ED7,2015-08-27,2015-09-02,2015,Cloud Misconfiguration,Drive-by Download,Outdated Firewall,Threat Intelligence Feed,Database,High,Zero-Day Patch,Germany,Brazil,Manufacturing,Transaction Logs,Automated synthetic breach entry for research dataset.
B79C40A8,2023-11-18,2023-11-22,2023,SQL Injection,Email Phishing,CVE-2021-44228 (Log4j),SIEM Alert,IoT Devices,Low,Firewall Updated,France,UK,Healthcare,Customer Data,Automated synthetic breach entry for research dataset.
EA8A3A7D,2019-04-08,2019-04-19,2019,SQL Injection,USB Infection,CVE-2021-44228 (Log4j),Unusual Activity Detection,Payment Server,Low,Patch Applied,India,UAE,Tech,Transaction Logs,Automated synthetic breach entry for research dataset.
51A99D15,2022-02-19,2022-02-20,2022,DDoS,Remote Desktop (RDP),Zero-Day Vulnerability,User Reported,Web Server,Critical,Zero-Day Patch,Italy,Germany,Retail,Employee Records,Automated synthetic breach entry for research dataset.
CF7453B4,2015-05-16,2015-05-17,2015,API Exploit,USB Infection,CVE-2021-44228 (Log4j),SIEM Alert,Cloud Storage,Critical,Firewall Updated,UAE,India,Tech,Passwords,Automated synthetic breach entry for research dataset.
603EE42C,2024-06-08,2024-06-16,2024,Phishing,Web Exploit,Unpatched VPN,Unusual Activity Detection,Internal Network,Low,Traffic Filtering,India,Iran,Retail,Transaction Logs,Automated synthetic breach entry for research dataset.
E09592AD,2021-12-27,2021-12-29,2021,Malware Injection,Malicious Link,Unsecured API,Threat Intelligence Feed,Database,High,System Isolation,Italy,UK,Healthcare,Medical Records,Automated synthetic breach entry for research dataset.
E907E110,2016-04-17,2016-04-28,2016,Supply Chain Attack,Malicious Link,Unsecured API,User Reported,Endpoint Devices,High,Firewall Updated,Germany,UAE,Manufacturing,Customer Data,Automated synthetic breach entry for research dataset.
59591C71,2015-12-20,2016-01-01,2015,Zero-Day Exploit,Cloud Misconfiguration,Weak Password Policy,SIEM Alert,Web Server,Critical,Key Rotation,Nigeria,Russia,Government,Financial Logs,Automated synthetic breach entry for research dataset.
0C3B4360,2024-03-27,2024-04-02,2024,Malware Injection,Drive-by Download,Unsecured API,User Reported,Cloud Storage,Medium,Malware Removal,UAE,Japan,Tech,Customer Data,Automated synthetic breach entry for research dataset.
4457F5A4,2024-02-11,2024-02-12,2024,Cloud Misconfiguration,Drive-by Download,Weak Password Policy,Threat Intelligence Feed,Endpoint Devices,Medium,Employee Terminated,Nigeria,China,Transportation,Internal Documents,Automated synthetic breach entry for research dataset.
195E738A,2018-10-13,2018-10-17,2018,API Exploit,Cloud Misconfiguration,Privilege Escalation Bug,Intrusion Detection System,Cloud Storage,Critical,Traffic Filtering,Pakistan,Australia,Healthcare,Medical Records,Automated synthetic breach entry for research dataset.
925DA704,2020-09-07,2020-09-16,2020,DDoS,Social Engineering,Privilege Escalation Bug,SIEM Alert,Internal Network,Medium,MFA Implemented,France,India,Finance,Emails,Automated synthetic breach entry for research dataset.
5A7F3AEB,2017-12-10,2017-12-22,2017,SQL Injection,Cloud Misconfiguration,Unsecured API,Unusual Activity Detection,Payment Server,Critical,Key Rotation,Germany,Spain,Government,Employee Records,Automated synthetic breach entry for research dataset.
3E3EA652,2019-05-05,2019-05-09,2019,Ransomware,Social Engineering,Privilege Escalation Bug,Firewall Logs,Payment Server,Medium,Traffic Filtering,France,India,Telecom,Medical Records,Automated synthetic breach entry for research dataset.
31D0D1C6,2024-04-23,2024-04-25,2024,SQL Injection,Remote Desktop (RDP),Privilege Escalation Bug,Unusual Activity Detection,Web Server,Medium,Key Rotation,Russia,Pakistan,Telecom,Passwords,Automated synthetic breach entry for research dataset.
F71AA182,2025-06-02,2025-06-12,2025,Phishing,Cloud Misconfiguration,CVE-2021-44228 (Log4j),User Reported,IoT Devices,High,Employee Terminated,Nigeria,Australia,Education,Internal Documents,Automated synthetic breach entry for research dataset.
54DC2A1F,2019-10-15,2019-10-16,2019,SQL Injection,Web Exploit,CVE-2021-44228 (Log4j),Firewall Logs,IoT Devices,High,Malware Removal,Canada,Japan,Tech,Customer Data,Automated synthetic breach entry for research dataset.
A37163B3,2023-01-03,2023-01-11,2023,Insider Threat,Web Exploit,Misconfigured S3 Bucket,Threat Intelligence Feed,Database,Medium,MFA Implemented,UK,Russia,Transportation,System Configurations,Automated synthetic breach entry for research dataset.
CFC39E37,2019-12-13,2019-12-25,2019,Malware Injection,Malicious Link,Unpatched VPN,Threat Intelligence Feed,Cloud Storage,High,Malware Removal,Spain,Iran,Government,Financial Logs,Automated synthetic breach entry for research dataset.
BD85FE46,2019-10-25,2019-11-01,2019,Cloud Misconfiguration,Cloud Misconfiguration,Unsecured API,SIEM Alert,Payment Server,Critical,MFA Implemented,Spain,Australia,Government,System Configurations,Automated synthetic breach entry for research dataset.
726F1437,2019-03-19,2019-03-20,2019,Malware Injection,Cloud Misconfiguration,Unsecured API,User Reported,Email System,Medium,Traffic Filtering,Russia,USA,Manufacturing,Internal Documents,Automated synthetic breach entry for research dataset.
DE9D0FCC,2015-04-06,2015-04-18,2015,API Exploit,Malicious Link,Zero-Day Vulnerability,External Audit,IoT Devices,Critical,Key Rotation,Australia,UAE,Finance,Employee Records,Automated synthetic breach entry for research dataset.
24A36998,2017-04-17,2017-04-21,2017,Malware Injection,Cloud Misconfiguration,Zero-Day Vulnerability,Unusual Activity Detection,Web Server,Critical,Firewall Updated,Nigeria,Netherlands,Education,Transaction Logs,Automated synthetic breach entry for research dataset.
D330AAD4,2018-04-30,2018-05-08,2018,API Exploit,Compromised Vendor,SQL Injection Flaw,External Audit,Database,Low,System Isolation,Brazil,India,Tech,User Tokens,Automated synthetic breach entry for research dataset.
454BFBF1,2015-10-22,2015-11-01,2015,Zero-Day Exploit,Drive-by Download,Outdated Firewall,Firewall Logs,Endpoint Devices,Medium,Traffic Filtering,Russia,Brazil,Telecom,Emails,Automated synthetic breach entry for research dataset.
4C0B9D1C,2016-01-08,2016-01-19,2016,Cloud Misconfiguration,Social Engineering,Unsecured API,User Reported,Cloud Storage,Low,Malware Removal,Nigeria,Iran,Healthcare,System Configurations,Automated synthetic breach entry for research dataset.
F078AC9E,2016-06-04,2016-06-14,2016,Phishing,Web Exploit,Outdated Firewall,Threat Intelligence Feed,Payment Server,Medium,Backups Restored,Pakistan,Russia,Energy,Financial Logs,Automated synthetic breach entry for research dataset.
CD8D835C,2023-01-14,2023-01-23,2023,Ransomware,Social Engineering,Unsecured API,External Audit,Web Server,Critical,Firewall Updated,India,Italy,Education,Internal Documents,Automated synthetic breach entry for research dataset.
7AD27C06,2024-08-30,2024-09-09,2024,Phishing,Email Phishing,Unsecured API,User Reported,Endpoint Devices,High,Backups Restored,Netherlands,Brazil,Retail,User Tokens,Automated synthetic breach entry for research dataset.
BC631B8D,2017-08-29,2017-09-03,2017,Zero-Day Exploit,Cloud Misconfiguration,Outdated Firewall,Unusual Activity Detection,Web Server,Medium,Key Rotation,South Korea,Pakistan,Energy,Passwords,Automated synthetic breach entry for research dataset.
BF26A2D4,2018-10-24,2018-11-03,2018,Phishing,USB Infection,Unsecured API,Intrusion Detection System,Cloud Storage,Medium,Traffic Filtering,Brazil,India,Energy,Transaction Logs,Automated synthetic breach entry for research dataset.
C7B400A1,2025-06-29,2025-07-06,2025,Ransomware,Cloud Misconfiguration,CVE-2021-44228 (Log4j),Intrusion Detection System,Internal Network,Critical,Employee Terminated,Nigeria,Australia,Finance,Passwords,Automated synthetic breach entry for research dataset.
D0D7A0BF,2020-08-15,2020-08-19,2020,Cloud Misconfiguration,Email Phishing,SQL Injection Flaw,Intrusion Detection System,Database,Low,Malware Removal,India,Nigeria,Banking,Employee Records,Automated synthetic breach entry for research dataset.
C35D6860,2017-05-14,2017-05-17,2017,Cloud Misconfiguration,Compromised Vendor,SQL Injection Flaw,External Audit,Email System,Low,Malware Removal,Germany,France,Manufacturing,User Tokens,Automated synthetic breach entry for research dataset.
