Breach_ID,Breach_Start_Date,Breach_End_Date,Year,Attack_Type,Attack_Vector,Vulnerability,Detection_Method,System_Affected,Breach_Severity,How_Resolved,Origin_Country,Target_Country,Target_Sector,Data_Compromised,Notes,Breach_Duration_Days
427B29B8,2024-02-14,2024-03-04,2024,Zero-Day Exploit,Malicious Link,Misconfigured S3 Bucket,SIEM Alerts,Endpoint Devices,Medium,Malware Removal,Germany,Iran,Manufacturing,Internal Documents,Automated synthetic breach entry for research dataset.,19
13491B1F,2023-04-27,2023-05-11,2023,Ransomware,Social Engineering,Zero-Day Vulnerability,AI-Based Monitoring,Email System,Critical,Malware Removal,India,Canada,Finance,Full Database Dump,Automated synthetic breach entry for research dataset.,14
7C61B8F4,2018-04-08,2018-04-16,2018,Ransomware,Cloud Misconfiguration,SQL Injection Flaw,Firewall Logs,Cloud Storage,High,Firewall Updated,Canada,Australia,Education,Credentials,Automated synthetic breach entry for research dataset.,8
508CE7A7,2022-03-12,2022-03-24,2022,Insider Threat,Social Engineering,Unpatched VPN,Unusual Activity Detection,Cloud Storage,High,Employee Terminated,Japan,Nigeria,Healthcare,User Tokens,Automated synthetic breach entry for research dataset.,12
D1743B7C,2015-10-05,2015-10-13,2015,Insider Threat,USB Infection,Misconfigured S3 Bucket,Firewall Logs,Database,Critical,MFA Implemented,Pakistan,South Korea,Manufacturing,Full Database Dump,Automated synthetic breach entry for research dataset.,8
154F4569,2023-10-01,2023-10-10,2023,Zero-Day Exploit,Web Exploit,Misconfigured S3 Bucket,AI-Based Monitoring,Web Server,High,Traffic Filtering,Iran,Italy,Transportation,Transaction Logs,Automated synthetic breach entry for research dataset.,9
0DF2EA14,2015-08-26,2015-08-30,2015,Ransomware,Malicious Link,Unpatched VPN,Manual Review,Endpoint Devices,High,Employee Terminated,UAE,Iran,Finance,Transaction Logs,Automated synthetic breach entry for research dataset.,4
B9D8C0D2,2017-08-29,2017-09-01,2017,Phishing,Malicious Link,Privilege Escalation Bug,Firewall Logs,Database,Low,MFA Implemented,Germany,Russia,Healthcare,Basic Metadata,Automated synthetic breach entry for research dataset.,3
FEA9B139,2020-07-28,2020-07-31,2020,Phishing,Compromised Vendor,SQL Injection Flaw,Firewall Logs,Web Server,Medium,MFA Implemented,Spain,Russia,Banking,Emails,Automated synthetic breach entry for research dataset.,3
5297946C,2019-02-13,2019-02-18,2019,Zero-Day Exploit,USB Infection,Unsecured API,Firewall Logs,IoT Devices,Medium,Backups Restored,Pakistan,India,Tech,Emails,Automated synthetic breach entry for research dataset.,5
DF985740,2018-07-06,2018-07-14,2018,Phishing,Compromised Vendor,CVE-2021-44228 (Log4j),Firewall Logs,Internal Network,Low,Backups Restored,China,Iran,Education,Minimal Logs,Automated synthetic breach entry for research dataset.,8
4EA22A65,2015-06-14,2015-06-20,2015,Phishing,Email Phishing,Unpatched VPN,Firewall Logs,Endpoint Devices,Medium,Traffic Filtering,UAE,Russia,Education,Emails,Automated synthetic breach entry for research dataset.,6
E6389D9E,2022-04-18,2022-04-29,2022,Ransomware,Email Phishing,Privilege Escalation Bug,SIEM Alerts,Payment Server,Critical,Key Rotation,UK,India,Transportation,Financial Records,Automated synthetic breach entry for research dataset.,11
5CC9C25B,2020-07-06,2020-07-09,2020,Ransomware,Remote Desktop (RDP),Weak Password Policy,Unusual Activity Detection,IoT Devices,Critical,MFA Implemented,Russia,Canada,Retail,Sensitive PII,Automated synthetic breach entry for research dataset.,3
7E1B9492,2020-03-02,2020-03-07,2020,Ransomware,Social Engineering,CVE-2021-44228 (Log4j),SIEM Alerts,Database,Critical,Firewall Updated,South Korea,Italy,Government,Financial Records,Automated synthetic breach entry for research dataset.,5
591E11DA,2022-11-06,2022-11-15,2022,Phishing,Social Engineering,Outdated Firewall,Unusual Activity Detection,IoT Devices,Medium,Traffic Filtering,India,Brazil,Telecom,Internal Documents,Automated synthetic breach entry for research dataset.,9
6A6670C4,2017-10-13,2017-10-16,2017,Insider Threat,Compromised Vendor,Privilege Escalation Bug,Firewall Logs,Cloud Storage,Critical,Patch Applied,Spain,Iran,Retail,Sensitive PII,Automated synthetic breach entry for research dataset.,3
4B79CA34,2025-07-19,2025-07-28,2025,Cloud Misconfiguration,Cloud Misconfiguration,Unpatched VPN,AI-Based Monitoring,Payment Server,High,Firewall Updated,Nigeria,India,Tech,Transaction Logs,Automated synthetic breach entry for research dataset.,9
83038E52,2022-12-31,2023-01-08,2022,Zero-Day Exploit,Email Phishing,Unpatched VPN,Firewall Logs,Payment Server,High,Key Rotation,Italy,Spain,Finance,Credentials,Automated synthetic breach entry for research dataset.,8
0A2A0AA5,2025-07-29,2025-08-18,2025,Insider Threat,USB Infection,Outdated Firewall,Threat Intelligence Feed,Database,Critical,MFA Implemented,China,China,Banking,Full Database Dump,Automated synthetic breach entry for research dataset.,20
D8C36119,2016-08-21,2016-08-28,2016,Cloud Misconfiguration,USB Infection,Weak Password Policy,Firewall Logs,Endpoint Devices,Medium,Traffic Filtering,China,Germany,Banking,Internal Documents,Automated synthetic breach entry for research dataset.,7
F174CD18,2017-04-19,2017-04-27,2017,Zero-Day Exploit,Remote Desktop (RDP),CVE-2021-44228 (Log4j),Manual Review,Payment Server,Medium,Employee Terminated,USA,Australia,Education,Internal Documents,Automated synthetic breach entry for research dataset.,8
AA1E89FE,2017-03-29,2017-04-01,2017,Zero-Day Exploit,USB Infection,Zero-Day Vulnerability,Firewall Logs,Endpoint Devices,Medium,Patch Applied,Nigeria,Japan,Banking,Internal Documents,Automated synthetic breach entry for research dataset.,3
D5B930C7,2015-02-08,2015-02-15,2015,Insider Threat,Social Engineering,Zero-Day Vulnerability,Firewall Logs,Endpoint Devices,High,Employee Terminated,Spain,Iran,Tech,Credentials,Automated synthetic breach entry for research dataset.,7
86FBFA49,2023-12-17,2023-12-26,2023,Ransomware,Drive-by Download,Misconfigured S3 Bucket,SIEM Alerts,IoT Devices,High,Malware Removal,Iran,China,Transportation,Transaction Logs,Automated synthetic breach entry for research dataset.,9
BF79403F,2023-12-30,2024-01-19,2023,Ransomware,Cloud Misconfiguration,Unsecured API,AI-Based Monitoring,Cloud Storage,Critical,Patch Applied,USA,UAE,Banking,Sensitive PII,Automated synthetic breach entry for research dataset.,20
3C397D30,2017-09-01,2017-09-04,2017,Phishing,Malicious Link,Weak Password Policy,Firewall Logs,Web Server,Medium,Backups Restored,Australia,Canada,Retail,Internal Documents,Automated synthetic breach entry for research dataset.,3
0AFDE038,2019-02-28,2019-03-06,2019,Phishing,Cloud Misconfiguration,Unpatched VPN,Manual Review,Internal Network,Low,Patch Applied,South Korea,Australia,Finance,Minimal Logs,Automated synthetic breach entry for research dataset.,6
880A667F,2019-03-31,2019-04-03,2019,Insider Threat,Remote Desktop (RDP),Outdated Firewall,Manual Review,Email System,Critical,Traffic Filtering,Italy,Canada,Telecom,Sensitive PII,Automated synthetic breach entry for research dataset.,3
318A2C9F,2017-07-26,2017-08-01,2017,Phishing,USB Infection,CVE-2021-44228 (Log4j),Firewall Logs,Payment Server,Medium,MFA Implemented,France,India,Telecom,Internal Documents,Automated synthetic breach entry for research dataset.,6
20500F52,2025-01-26,2025-02-06,2025,Zero-Day Exploit,Social Engineering,Unsecured API,AI-Based Monitoring,Web Server,Medium,Backups Restored,Iran,Pakistan,Finance,Emails,Automated synthetic breach entry for research dataset.,11
4517BB2E,2025-05-07,2025-05-22,2025,Web Exploit,Drive-by Download,Outdated Firewall,AI-Based Monitoring,Email System,Medium,Zero-Day Patch,Iran,India,Tech,Internal Documents,Automated synthetic breach entry for research dataset.,15
4AC4D82A,2025-11-16,2025-12-03,2025,Ransomware,Social Engineering,CVE-2021-44228 (Log4j),AI-Based Monitoring,Database,Critical,Traffic Filtering,Italy,USA,Energy,Full Database Dump,Automated synthetic breach entry for research dataset.,17
01A13A1C,2023-04-08,2023-04-23,2023,Web Exploit,Drive-by Download,Weak Password Policy,SIEM Alerts,Endpoint Devices,Medium,MFA Implemented,Russia,Australia,Tech,Internal Documents,Automated synthetic breach entry for research dataset.,15
1CE6A9DB,2017-01-25,2017-01-26,2017,Ransomware,USB Infection,Unpatched VPN,Firewall Logs,Endpoint Devices,High,Backups Restored,UK,Japan,Energy,User Tokens,Automated synthetic breach entry for research dataset.,1
E89737C5,2024-04-10,2024-04-22,2024,Ransomware,Drive-by Download,Misconfigured S3 Bucket,AI-Based Monitoring,Internal Network,Critical,System Isolation,UAE,Netherlands,Finance,Full Database Dump,Automated synthetic breach entry for research dataset.,12
62F394A5,2017-08-13,2017-08-14,2017,Zero-Day Exploit,USB Infection,Weak Password Policy,Firewall Logs,Endpoint Devices,Medium,Malware Removal,Australia,Italy,Education,Emails,Automated synthetic breach entry for research dataset.,1
90CED427,2020-02-02,2020-02-05,2020,Ransomware,USB Infection,Misconfigured S3 Bucket,Firewall Logs,Payment Server,High,Employee Terminated,Pakistan,Australia,Finance,User Tokens,Automated synthetic breach entry for research dataset.,3
73D24D7C,2020-09-02,2020-09-14,2020,Ransomware,Email Phishing,Privilege Escalation Bug,SIEM Alerts,Web Server,Critical,MFA Implemented,USA,Italy,Telecom,Financial Records,Automated synthetic breach entry for research dataset.,12
F35D0692,2023-02-24,2023-03-06,2023,Ransomware,Cloud Misconfiguration,Privilege Escalation Bug,SIEM Alerts,Endpoint Devices,Critical,Key Rotation,UK,UK,Government,Sensitive PII,Automated synthetic breach entry for research dataset.,10
55617BBE,2022-12-06,2022-12-12,2022,Cloud Misconfiguration,Drive-by Download,Unsecured API,Firewall Logs,Web Server,Medium,Patch Applied,Australia,France,Finance,Internal Documents,Automated synthetic breach entry for research dataset.,6
1184B58D,2018-06-27,2018-07-04,2018,Phishing,USB Infection,Weak Password Policy,Firewall Logs,IoT Devices,Low,Malware Removal,USA,Pakistan,Telecom,Minimal Logs,Automated synthetic breach entry for research dataset.,7
9563DDD0,2022-12-15,2022-12-24,2022,Phishing,USB Infection,Weak Password Policy,Firewall Logs,IoT Devices,Low,System Isolation,Nigeria,Spain,Healthcare,Basic Metadata,Automated synthetic breach entry for research dataset.,9
98FEF6C0,2015-04-10,2015-04-13,2015,Phishing,USB Infection,Privilege Escalation Bug,Firewall Logs,Database,Medium,Key Rotation,Nigeria,China,Finance,Emails,Automated synthetic breach entry for research dataset.,3
EA4C0FC6,2025-03-03,2025-03-22,2025,Insider Threat,Email Phishing,Unpatched VPN,SIEM Alerts,Endpoint Devices,Critical,System Isolation,UK,Netherlands,Education,Full Database Dump,Automated synthetic breach entry for research dataset.,19
F48C3DDD,2024-02-13,2024-02-25,2024,Zero-Day Exploit,Compromised Vendor,CVE-2021-44228 (Log4j),SIEM Alerts,Payment Server,Medium,Key Rotation,Canada,UK,Government,Emails,Automated synthetic breach entry for research dataset.,12
374C3671,2017-02-24,2017-02-25,2017,Cloud Misconfiguration,Cloud Misconfiguration,Outdated Firewall,Firewall Logs,Internal Network,Medium,Employee Terminated,South Korea,Canada,Transportation,Emails,Automated synthetic breach entry for research dataset.,1
8F77D08E,2019-02-13,2019-02-20,2019,Phishing,Malicious Link,Weak Password Policy,Firewall Logs,Email System,Medium,Backups Restored,Nigeria,USA,Transportation,Emails,Automated synthetic breach entry for research dataset.,7
BE5BA914,2025-01-24,2025-02-06,2025,Cloud Misconfiguration,Email Phishing,Zero-Day Vulnerability,Threat Intelligence Feed,Database,High,Key Rotation,Nigeria,South Korea,Finance,Credentials,Automated synthetic breach entry for research dataset.,13
3CB50BC8,2016-09-01,2016-09-08,2016,Cloud Misconfiguration,Cloud Misconfiguration,Zero-Day Vulnerability,Firewall Logs,Cloud Storage,Medium,System Isolation,Italy,Pakistan,Telecom,Internal Documents,Automated synthetic breach entry for research dataset.,7
14ADBA52,2025-08-13,2025-08-29,2025,Zero-Day Exploit,Remote Desktop (RDP),Misconfigured S3 Bucket,SIEM Alerts,Payment Server,Medium,MFA Implemented,Nigeria,France,Banking,Internal Documents,Automated synthetic breach entry for research dataset.,16
EB5111BC,2021-11-08,2021-11-20,2021,Ransomware,Malicious Link,Weak Password Policy,Unusual Activity Detection,Database,Critical,Zero-Day Patch,South Korea,Italy,Healthcare,Full Database Dump,Automated synthetic breach entry for research dataset.,12
2F0541E1,2018-07-24,2018-07-25,2018,Ransomware,Remote Desktop (RDP),Outdated Firewall,Firewall Logs,Cloud Storage,High,Firewall Updated,Japan,Pakistan,Energy,Credentials,Automated synthetic breach entry for research dataset.,1
FFF82B9E,2019-08-22,2019-08-25,2019,Web Exploit,Malicious Link,Unpatched VPN,Firewall Logs,Cloud Storage,Medium,Traffic Filtering,USA,Netherlands,Government,Internal Documents,Automated synthetic breach entry for research dataset.,3
AB9D62FB,2022-11-24,2022-12-03,2022,Zero-Day Exploit,Remote Desktop (RDP),Privilege Escalation Bug,Unusual Activity Detection,Email System,High,Firewall Updated,Canada,Australia,Tech,User Tokens,Automated synthetic breach entry for research dataset.,9
B04C5302,2018-05-28,2018-06-02,2018,Phishing,Compromised Vendor,Unpatched VPN,Manual Review,Email System,Low,Firewall Updated,India,Germany,Energy,Basic Metadata,Automated synthetic breach entry for research dataset.,5
CE3D0975,2020-11-18,2020-11-27,2020,Ransomware,Email Phishing,Weak Password Policy,Firewall Logs,Email System,Critical,Traffic Filtering,China,Germany,Tech,Sensitive PII,Automated synthetic breach entry for research dataset.,9
353A8143,2020-11-28,2020-12-04,2020,Ransomware,USB Infection,Unpatched VPN,SIEM Alerts,Email System,Critical,System Isolation,France,Iran,Transportation,Full Database Dump,Automated synthetic breach entry for research dataset.,6
113428D8,2017-01-01,2017-01-06,2017,Phishing,Web Exploit,Privilege Escalation Bug,Firewall Logs,Email System,Low,Firewall Updated,Nigeria,USA,Manufacturing,Minimal Logs,Automated synthetic breach entry for research dataset.,5
6CE826E6,2015-07-24,2015-07-27,2015,Zero-Day Exploit,USB Infection,Unpatched VPN,Firewall Logs,Database,High,Zero-Day Patch,India,China,Government,Credentials,Automated synthetic breach entry for research dataset.,3
49021ED7,2015-01-03,2015-01-11,2015,Insider Threat,Drive-by Download,Outdated Firewall,Firewall Logs,Database,Critical,Zero-Day Patch,Germany,Brazil,Manufacturing,Sensitive PII,Automated synthetic breach entry for research dataset.,8
B79C40A8,2023-01-02,2023-01-08,2023,Cloud Misconfiguration,Email Phishing,CVE-2021-44228 (Log4j),Threat Intelligence Feed,IoT Devices,High,Firewall Updated,France,UK,Healthcare,Credentials,Automated synthetic breach entry for research dataset.,6
EA8A3A7D,2019-07-16,2019-07-17,2019,Phishing,USB Infection,CVE-2021-44228 (Log4j),Firewall Logs,Payment Server,Low,Patch Applied,India,UAE,Tech,Minimal Logs,Automated synthetic breach entry for research dataset.,1
51A99D15,2022-11-13,2022-11-24,2022,Zero-Day Exploit,Remote Desktop (RDP),Zero-Day Vulnerability,SIEM Alerts,Web Server,High,Zero-Day Patch,Italy,Germany,Retail,Transaction Logs,Automated synthetic breach entry for research dataset.,11
CF7453B4,2015-02-05,2015-02-11,2015,Phishing,USB Infection,CVE-2021-44228 (Log4j),Manual Review,Cloud Storage,Low,Firewall Updated,UAE,India,Tech,Minimal Logs,Automated synthetic breach entry for research dataset.,6
603EE42C,2024-08-23,2024-09-09,2024,Ransomware,Web Exploit,Unpatched VPN,AI-Based Monitoring,Internal Network,High,Traffic Filtering,India,Iran,Retail,Transaction Logs,Automated synthetic breach entry for research dataset.,17
E09592AD,2021-12-27,2022-01-03,2021,Web Exploit,Malicious Link,Unsecured API,SIEM Alerts,Database,Medium,System Isolation,Italy,UK,Healthcare,Internal Documents,Automated synthetic breach entry for research dataset.,7
E907E110,2016-11-23,2016-11-25,2016,Phishing,Malicious Link,Unsecured API,Manual Review,Endpoint Devices,Low,Firewall Updated,Germany,UAE,Manufacturing,Minimal Logs,Automated synthetic breach entry for research dataset.,2
59591C71,2015-05-01,2015-05-07,2015,Zero-Day Exploit,Cloud Misconfiguration,Weak Password Policy,Firewall Logs,Web Server,High,Key Rotation,Nigeria,Russia,Government,User Tokens,Automated synthetic breach entry for research dataset.,6
0C3B4360,2024-09-02,2024-09-07,2024,Zero-Day Exploit,Drive-by Download,Unsecured API,SIEM Alerts,Cloud Storage,Medium,Malware Removal,UAE,Japan,Tech,Emails,Automated synthetic breach entry for research dataset.,5
4457F5A4,2024-07-24,2024-08-02,2024,Phishing,Drive-by Download,Weak Password Policy,Threat Intelligence Feed,Endpoint Devices,Medium,Employee Terminated,Nigeria,China,Transportation,Internal Documents,Automated synthetic breach entry for research dataset.,9
195E738A,2018-02-16,2018-02-21,2018,Web Exploit,Cloud Misconfiguration,Privilege Escalation Bug,Manual Review,Cloud Storage,Low,Traffic Filtering,Pakistan,Australia,Healthcare,Basic Metadata,Automated synthetic breach entry for research dataset.,5
925DA704,2020-11-03,2020-11-08,2020,Zero-Day Exploit,Social Engineering,Privilege Escalation Bug,Unusual Activity Detection,Internal Network,High,MFA Implemented,France,India,Finance,User Tokens,Automated synthetic breach entry for research dataset.,5
5A7F3AEB,2017-05-30,2017-06-01,2017,Phishing,Cloud Misconfiguration,Unsecured API,Firewall Logs,Payment Server,Low,Key Rotation,Germany,Spain,Government,Basic Metadata,Automated synthetic breach entry for research dataset.,2
3E3EA652,2019-02-17,2019-02-24,2019,Ransomware,Social Engineering,Privilege Escalation Bug,Firewall Logs,Payment Server,Critical,Traffic Filtering,France,India,Telecom,Financial Records,Automated synthetic breach entry for research dataset.,7
31D0D1C6,2024-07-02,2024-07-18,2024,Phishing,Remote Desktop (RDP),Privilege Escalation Bug,Threat Intelligence Feed,Web Server,Medium,Key Rotation,Russia,Pakistan,Telecom,Emails,Automated synthetic breach entry for research dataset.,16
F71AA182,2025-08-28,2025-09-02,2025,Cloud Misconfiguration,Cloud Misconfiguration,CVE-2021-44228 (Log4j),AI-Based Monitoring,IoT Devices,High,Employee Terminated,Nigeria,Australia,Education,User Tokens,Automated synthetic breach entry for research dataset.,5
54DC2A1F,2019-06-24,2019-07-01,2019,Phishing,Web Exploit,CVE-2021-44228 (Log4j),Firewall Logs,IoT Devices,Medium,Malware Removal,Canada,Japan,Tech,Internal Documents,Automated synthetic breach entry for research dataset.,7
A37163B3,2023-08-14,2023-08-29,2023,Ransomware,Web Exploit,Misconfigured S3 Bucket,AI-Based Monitoring,Database,Critical,MFA Implemented,UK,Russia,Transportation,Full Database Dump,Automated synthetic breach entry for research dataset.,15
CFC39E37,2019-06-14,2019-06-19,2019,Phishing,Malicious Link,Unpatched VPN,Firewall Logs,Cloud Storage,Medium,Malware Removal,Spain,Iran,Government,Internal Documents,Automated synthetic breach entry for research dataset.,5
BD85FE46,2019-04-24,2019-04-30,2019,Phishing,Cloud Misconfiguration,Unsecured API,Manual Review,Payment Server,Medium,MFA Implemented,Spain,Australia,Government,Internal Documents,Automated synthetic breach entry for research dataset.,6
726F1437,2019-02-09,2019-02-17,2019,Insider Threat,Cloud Misconfiguration,Unsecured API,Firewall Logs,Email System,High,Traffic Filtering,Russia,USA,Manufacturing,Credentials,Automated synthetic breach entry for research dataset.,8
DE9D0FCC,2015-03-15,2015-03-17,2015,Web Exploit,Malicious Link,Zero-Day Vulnerability,Manual Review,IoT Devices,Medium,Key Rotation,Australia,UAE,Finance,Emails,Automated synthetic breach entry for research dataset.,2
24A36998,2017-08-31,2017-09-01,2017,Ransomware,Cloud Misconfiguration,Zero-Day Vulnerability,Firewall Logs,Web Server,High,Firewall Updated,Nigeria,Netherlands,Education,Transaction Logs,Automated synthetic breach entry for research dataset.,1
D330AAD4,2018-12-29,2019-01-06,2018,Insider Threat,Compromised Vendor,SQL Injection Flaw,Firewall Logs,Database,Critical,System Isolation,Brazil,India,Tech,Sensitive PII,Automated synthetic breach entry for research dataset.,8
454BFBF1,2015-11-05,2015-11-07,2015,Phishing,Drive-by Download,Outdated Firewall,Manual Review,Endpoint Devices,Medium,Traffic Filtering,Russia,Brazil,Telecom,Internal Documents,Automated synthetic breach entry for research dataset.,2
4C0B9D1C,2016-01-10,2016-01-17,2016,Zero-Day Exploit,Social Engineering,Unsecured API,Firewall Logs,Cloud Storage,Medium,Malware Removal,Nigeria,Iran,Healthcare,Emails,Automated synthetic breach entry for research dataset.,7
F078AC9E,2016-12-10,2016-12-14,2016,Ransomware,Web Exploit,Outdated Firewall,Firewall Logs,Payment Server,High,Backups Restored,Pakistan,Russia,Energy,Credentials,Automated synthetic breach entry for research dataset.,4
CD8D835C,2023-01-22,2023-02-01,2023,Phishing,Social Engineering,Unsecured API,Threat Intelligence Feed,Web Server,Low,Firewall Updated,India,Italy,Education,Basic Metadata,Automated synthetic breach entry for research dataset.,10
7AD27C06,2024-09-05,2024-09-20,2024,Ransomware,Email Phishing,Unsecured API,AI-Based Monitoring,Endpoint Devices,Critical,Backups Restored,Netherlands,Brazil,Retail,Sensitive PII,Automated synthetic breach entry for research dataset.,15
BC631B8D,2017-10-06,2017-10-08,2017,Zero-Day Exploit,Cloud Misconfiguration,Outdated Firewall,Firewall Logs,Web Server,High,Key Rotation,South Korea,Pakistan,Energy,User Tokens,Automated synthetic breach entry for research dataset.,2
BF26A2D4,2018-06-21,2018-06-29,2018,Cloud Misconfiguration,USB Infection,Unsecured API,Firewall Logs,Cloud Storage,Medium,Traffic Filtering,Brazil,India,Energy,Internal Documents,Automated synthetic breach entry for research dataset.,8
