ID,Name_of_Covered_Entity,State,Individuals_Affected,Date_of_Breach,Type_of_Breach,Location_of_Breached_Information,Date_Posted_or_Updated,year,Breach_Month,Breach_Quarter,Name_of_Covered_Entity_Encoded,State_Encoded,Type_of_Breach_Encoded,Location_of_Breached_Information_Encoded
51,"Laboratory Corporation of America/Dynacare Northwest, Inc.",WA,5080,2010-02-12,Theft,Laptop,2014-01-23,2010-01-01,2,1,439,48,11,16
52,Mount Sinai Medical Center,FL,2600,2010-03-09,Theft,Laptop,2014-01-23,2010-01-01,3,1,544,9,11,16
53,Griffin Hospital,CT,957,2010-02-04,Hacking/IT Incident,Network Server,2014-01-23,2010-01-01,2,1,302,6,0,30
54,"Hypertension, Nephrology, Dialysis and Transplantation, PC",AL,2465,2010-03-06,Theft,Laptop,2014-01-23,2010-01-01,3,1,363,1,11,16
55,Reliant Rehabilitation Hospital North Houston,TX,768,2010-02-09,Unauthorized Access/Disclosure ,E-mail,2014-01-23,2010-01-01,2,1,659,44,23,11
56,"Laboratory Corporation of America / US LABS / Dianon Systems, Inc",AZ,2773,2010-02-18,Theft,Other Portable Electronic Device,2014-01-23,2010-01-01,2,1,438,3,11,35
57,University of Pittsburgh Student Health Center,PA,8000,2010-03-11,"Theft, Loss",Paper,2014-01-23,2010-01-01,3,1,900,38,14,40
58,Providence Hospital,MI,83945,2010-02-04,Other,Other,2014-01-23,2010-01-01,2,1,640,22,10,34
59,VHS Genesis Lab Inc. ,IL,6800,2010-01-10,Loss,Paper,2014-01-23,2010-01-01,1,1,917,14,4,40
60,John Muir Physician Network,CA,5450,2010-02-04,Theft,Laptop,2014-01-23,2010-01-01,2,1,404,4,11,16
61,Beatrice Community Hospital and Health Center,NE,660,2010-03-19,Other,Paper,2014-01-23,2010-01-01,3,1,79,29,10,40
62,Pediatric Sports and Spine Associates,TX,955,2010-02-10,Theft,Laptop,2014-01-23,2010-01-01,2,1,620,44,11,16
63,"Affinity Health Plan, Inc.",NY,344579,2009-11-24,Theft,Other,2014-05-28,2009-01-01,11,4,26,34,11,34
64,Tomah Memorial Hospital,WI,600,2010-03-19,Other,Other,2014-01-23,2010-01-01,3,1,839,49,10,34
65,"Praxair Healthcare Services, Inc. (Home Care Supply in NY)",CT,54165,2010-02-18,Theft,Laptop,2014-01-23,2010-01-01,2,1,632,6,11,16
66,Massachusetts Eye and Ear Infirmary,MA,3594,2010-02-19,Theft,Laptop,2014-01-23,2010-01-01,2,1,493,19,11,16
67,Blue Cross & Blue Shield of Rhode Island,RI,12000,2009-12-20,Theft,Paper,2014-06-30,2009-01-01,12,4,88,40,11,40
68,South Carolina Department of Health and Environmental Control,SC,2850,2010-02-17,Improper Disposal,Paper,2014-01-23,2010-01-01,2,1,730,41,2,40
69,St. Joseph Heritage Healthcare,CA,22012,2010-03-06,Theft,Desktop Computer,2014-01-23,2010-01-01,3,1,755,4,11,0
70,Medical Center At Bowling Green,KY,5148,2010-03-24,Theft,"Other Portable Electronic Device, Other",2014-01-23,2010-01-01,3,1,499,17,11,36
71,GENERAL AGENCIES WELFARE BENEFITS PROGRAM,TN,1874,2010-02-05,Loss,Other,2014-01-23,2010-01-01,2,1,278,43,4,34
72,UnitedHealth Group health plan single affiliated covered entity,MN,735,2010-03-02,Theft,"Other, Paper",2014-01-23,2010-01-01,3,1,868,23,11,39
73,South Texas Veterans Health Care System,TX,1430,2009-09-30,"Loss, Improper Disposal",Paper,2014-01-23,2009-01-01,9,3,739,44,5,40
74,Rockbridge Area Community Services,VA,500,2010-03-12,Theft,"Laptop, Desktop Computer",2014-01-23,2010-01-01,3,1,678,46,11,17
75,"Emergency Healthcare Physicians, Ltd.",IL,180111,2010-02-27,Theft,"Other Portable Electronic Device, Other",2014-01-23,2010-01-01,2,1,249,14,11,36
76,VA Eastern Colorado Health Care System,CO,649,2010-01-19,Theft,Paper,2014-06-19,2010-01-01,1,1,912,5,11,40
77,Miami VA Healthcare System,FL,568,2010-01-19,Loss,Paper,2014-01-23,2010-01-01,1,1,517,9,4,40
78,"Heriberto Rodriguez-Ayala, M.D.",TX,4200,2010-04-03,Theft,Laptop,2014-01-23,2010-01-01,4,2,342,44,11,16
79,Georgetown University Hospital,DC,2416,2010-03-26,"Theft, Other","E-mail, Other Portable Electronic Device",2014-01-23,2010-01-01,3,1,287,7,18,13
80,Silicon Valley Eyecare Optometry and Contact Lenses,CA,40000,2010-04-02,Theft,Network Server,2014-01-23,2010-01-01,4,2,720,4,11,30
81,Loma Linda University Health Care,CA,584,2010-04-04,Theft,Desktop Computer,2014-01-23,2010-01-01,4,2,463,4,11,0
82,Veterans Health Administration,DC,656,2010-04-22,Theft,Laptop,2014-01-23,2010-01-01,4,2,924,7,11,16
83,"State of New Mexico Human Services Department, Medical Assistance Division",NM,9600,2010-03-20,Theft,Laptop,2014-01-23,2010-01-01,3,1,775,32,11,16
84,Oconee Physician Practices,SC,653,2010-05-09,Theft,Laptop,2014-01-23,2010-01-01,5,2,587,41,11,16
85,University of Rochester Medical Center and Affiliates,NY,2628,2010-04-19,Other,Paper,2014-01-23,2010-01-01,4,2,902,34,10,40
86,Omaha Construction Industry Health and Welfare Plan,NE,800,2009-01-11,Theft,Laptop,2014-01-23,2009-01-01,1,1,595,29,11,16
87,"City of Charlotte, NC (Health Plan)",NC,5220,2010-02-03,Loss,Other,2014-01-23,2010-01-01,2,1,163,27,4,34
88,VA North Texas Health Care System,TX,4083,2010-05-04,Improper Disposal,Paper,2014-01-23,2010-01-01,5,2,915,44,2,40
89,Rainbow Hospice and Palliative Care,IL,1000,2010-04-12,Theft,Laptop,2014-01-23,2010-01-01,4,2,648,14,11,16
90,Cincinnati Childrens Hospital Medical Center ,OH,60998,2010-03-27,Theft,Laptop,2014-01-23,2010-01-01,3,1,161,35,11,16
91,Occupational Health Partners,KS,1105,2010-05-12,Theft,Laptop,2014-01-23,2010-01-01,5,2,585,16,11,16
92,"AvMed, Inc.",FL,1220000,2009-12-10,Theft,Laptop,2014-06-30,2009-01-01,12,4,62,9,11,16
93,UnitedHealth Group health plan single affiliated covered entity,MN,16291,2010-01-26,Other,Paper,2014-01-23,2010-01-01,1,1,868,23,10,40
94,Lincoln Medical and Mental Health Center,NY,130495,2010-03-24,Theft,Other,2014-06-19,2010-01-01,3,1,459,34,11,34
95,"Nihal Saran, MD ",MI,2300,2010-05-02,Theft,Laptop,2014-01-23,2010-01-01,5,2,570,22,11,16
96,"University of Louisville Research Foundation, Inc., DBA The Kidney Disease Program",KY,708,2008-10-01,Hacking/IT Incident,Network Server,2014-01-23,2008-01-01,10,4,887,17,0,30
97,St. Jude Children's Research Hospital,TN,1745,2010-04-19,Loss,Laptop,2014-01-23,2010-01-01,4,2,758,43,4,16
98,TennCare,TN,10515,2010-03-20,Theft,Laptop,2014-06-20,2010-01-01,3,1,799,43,11,16
99,The Children's Medical Center of Dayton,OH,1001,2010-04-22,Other,E-mail,2014-01-23,2010-01-01,4,2,815,35,10,11
100,Comprehensive Care Management Corporation,NY,1020,2010-04-30,Theft,"Laptop, Desktop Computer, Network Server, E-mail",2014-06-19,2010-01-01,4,2,190,34,11,18
101,alma aguado md pa,TX,600,2010-05-29,Theft,Network Server,2014-04-23,2010-01-01,5,2,962,44,11,30
102,University Hospital,GA,14000,2010-05-07,Loss,Other,2014-01-23,2010-01-01,5,2,874,10,4,34
103,University Health System,NV,7526,2010-06-11,Theft,Network Server,2014-01-23,2010-01-01,6,2,873,33,11,30
104,"Sinai Hospital of Baltimore, Inc.",MD,937,2010-05-03,Other,E-mail,2014-01-23,2010-01-01,5,2,723,20,10,11
105,"Mary M. Desch,MD/PathHealer, LTD",AZ,5893,2010-05-15,Theft,Laptop,2014-01-23,2010-01-01,5,2,491,3,11,16
106,Children's Hospital & Research Center at Oakland,CA,1000,2010-05-25,Other,Paper,2014-01-23,2010-01-01,5,2,158,4,10,40
107,Centerstone,TN,1537,2010-05-01,Other,"Desktop Computer, Paper",2014-01-23,2010-01-01,5,2,144,43,10,10
108,California Department of Healthcare Services,CA,29000,2010-04-29,"Loss, Other","Other Portable Electronic Device, Other",2014-01-23,2010-01-01,4,2,122,4,6,36
109,Long Island Consultation Center,NY,800,2010-05-21,Theft,"Other Portable Electronic Device, Other",2014-06-19,2010-01-01,5,2,469,34,11,36
110,NYU Hospitals Center,NY,2563,2010-05-08,Theft,Other Portable Electronic Device,2014-05-28,2010-01-01,5,2,557,34,11,35
111,University of Florida,FL,2047,2010-05-24,Other,Paper,2014-01-23,2010-01-01,5,2,881,9,10,40
112,SunBridge Healthcare Corporation,NM,3830,2010-05-11,Theft,Laptop,2014-01-23,2010-01-01,5,2,785,32,11,16
113,Department of Health Care Policy & Financing,CO,105470,2010-05-17,Theft,Desktop Computer,2014-01-23,2010-01-01,5,2,225,5,11,0
114,Prince William County Community Services (CS),VA,669,2010-06-18,Theft,Other Portable Electronic Device,2014-01-23,2010-01-01,6,2,638,46,11,35
115,"E. Brooks Wilkins Family Medicine, PA",NC,13000,2010-02-01,Theft,"Desktop Computer, Other",2014-01-23,2010-01-01,2,1,242,27,11,7
116,John Deere Health Benefit Plan for Wage Employees,IL,1097,2010-06-24,Other,Paper,2014-01-23,2010-01-01,6,2,402,14,10,40
117,South Shore Hospital,MA,800000,2010-02-26,Loss,"Other Portable Electronic Device, Other, Electronic Medical Record",2014-01-23,2010-01-01,2,1,736,19,4,37
118,Montefiore Medical Center,NY,16820,2010-05-22,Theft,Desktop Computer,2014-06-19,2010-01-01,5,2,539,34,11,0
119,"DC Chartered Health Plan, Inc",DC,540,2010-05-26,Theft,Laptop,2014-01-23,2010-01-01,5,2,210,7,11,16
120,Montefiore Medical Center,NY,23753,2010-06-09,Theft,Desktop Computer,2014-06-19,2010-01-01,6,2,539,34,11,0
121,Medina County OB/GYN,OH,1200,2010-06-13,Improper Disposal,Paper,2014-01-23,2010-01-01,6,2,503,35,2,40
122,The University of Texas at Arlington,TX,27000,2009-02-19,Hacking/IT Incident,Network Server,2014-01-23,2009-01-01,2,1,832,44,0,30
123,Aetna,CT,6372,2010-03-29,Improper Disposal,Paper,2014-01-23,2010-01-01,3,1,23,6,2,40
124,Charles Mitchell MD,TX,6873,2010-06-27,Theft,Desktop Computer,2014-06-30,2010-01-01,6,2,151,44,11,0
125,Humana Inc [case 4486],KY,2631,2010-06-25,Other,Paper,2014-01-23,2010-01-01,6,2,362,17,10,40
126,"WellPoint, Inc.",IN,31700,2009-11-03,Hacking/IT Incident,Network Server,2014-01-23,2009-01-01,11,4,942,15,0,30
127,Carolina Center for Development and Rehabilitation,NC,1590,2010-06-24,Theft,Paper,2014-06-30,2010-01-01,6,2,136,27,11,40
128,Trinity Health Corporation Welfare Benefit Plan,MI,1073,2010-03-29,Loss,Other,2014-01-23,2010-01-01,3,1,844,22,4,34
129,Texas Children's Hospital,TX,694,2010-05-13,Theft,Laptop,2014-01-23,2010-01-01,5,2,802,44,11,16
130,Baylor College of Medicine,TX,1646,2010-05-13,Theft,Laptop,2014-04-24,2010-01-01,5,2,73,44,11,16
131,Wright State Physicians,OH,1309,2010-06-11,Other,Laptop,2014-01-23,2010-01-01,6,2,955,35,10,16
132,Penn Treaty Network America Insurance Company ,PA,560,2010-06-04,Other,Other,2014-01-23,2010-01-01,6,2,623,38,10,34
133,Aultman Hospital,OH,13867,2010-06-07,Theft,Laptop,2014-01-23,2010-01-01,6,2,60,35,11,16
134,Fort Worth Allergy and Asthma Associates,TX,25000,2010-06-29,Theft,Network Server,2014-01-23,2010-01-01,6,2,271,44,11,30
135,"Beauty Dental, Inc.",IL,657,2010-06-05,"Theft, Loss",Paper,2014-01-23,2010-01-01,6,2,80,14,14,40
136,Walsh Pharmacy,MA,11440,2010-06-03,Other,"Other Portable Electronic Device, Other",2014-01-23,2010-01-01,6,2,938,19,10,36
137,Jewish Hospital,KY,2089,2010-07-16,Theft,Laptop,2014-01-23,2010-01-01,7,3,401,17,11,16
138,St. John's Mercy Medical Group,MO,1907,2010-06-07,Improper Disposal,Paper,2014-01-23,2010-01-01,6,2,753,24,2,40
139,"Thomas Jefferson University Hospitals, Inc.",PA,21000,2010-06-14,Theft,Laptop,2014-01-23,2010-01-01,6,2,833,38,11,16
140,UNCG Speech and Hearing Center,NC,2300,1997-01-01,Hacking/IT Incident,Desktop Computer,2014-01-23,1997-01-01,1,1,855,27,0,0
141,Idaho Power Group Health Plan,ID,5500,2010-03-29,Loss,Other,2014-01-23,2010-01-01,3,1,367,13,4,34
142,Loma Linda University School of Dentistry,CA,10100,2010-06-13,Theft,Desktop Computer,2014-01-23,2010-01-01,6,2,465,4,11,0
143,"Ward A. Morris, DDS",WA,2698,2010-07-16,Theft,Desktop Computer,2014-01-23,2010-01-01,7,3,939,48,11,0
144,"Chattanooga Family Practice Associates, P.C.",TN,1711,2010-07-15,Loss,"Other Portable Electronic Device, Other",2014-01-23,2010-01-01,7,3,155,43,4,36
145,Yale University,CT,1000,2010-07-28,Theft,Laptop,2014-01-23,2010-01-01,7,3,958,6,11,16
146,University of Kentucky,KY,2027,2010-06-18,Theft,Laptop,2014-01-23,2010-01-01,6,2,883,17,11,16
147,Cook County Health & Hospitals System,IL,7081,2010-05-30,Theft,Laptop,2014-01-23,2010-01-01,5,2,197,14,11,16
148,"Eastmoreland Surgical Clinic, William Graham, DO",OR,4328,2010-07-05,Theft,"Laptop, Desktop Computer, Other Portable Electronic Device, Other",2014-01-23,2010-01-01,7,3,245,37,11,22
149,SunBridge Healthcare Corporation,NM,1000,2010-06-26,Theft,"Other Portable Electronic Device, Other",2014-01-23,2010-01-01,6,2,785,32,11,36
150,Holyoke Medical Center,MA,24750,2010-07-26,Improper Disposal,Paper,2014-01-23,2010-01-01,7,3,348,19,2,40
151,Newark Beth Israel Medical Center,NJ,956,2010-05-10,Theft,"Other Portable Electronic Device, Other",2014-06-19,2010-01-01,5,2,569,31,11,36
152,Saint Barnabas Medical Center,NJ,3630,2010-05-10,Theft,Other Portable Electronic Device,2014-06-19,2010-01-01,5,2,692,31,11,35
153,NYU School of Medicine--Aging and Dementia Clinical Research Center ,NY,1200,2010-04-03,Loss,"Other Portable Electronic Device, Other",2014-01-23,2010-01-01,4,2,559,34,4,36
154,University of Rochester Medical Center and Affiliates,NY,857,2010-08-02,Loss,Other Portable Electronic Device,2014-01-23,2010-01-01,8,3,902,34,4,35
155,State of Delaware Health Plan,DE,22642,2010-08-16,Other,Network Server,2014-01-23,2010-01-01,8,3,774,8,10,30
156,"Curtis R. Bryan, M.D.",VA,2739,2010-07-12,Theft,Laptop,2014-01-23,2010-01-01,7,3,208,46,11,16
157,Mayo Clinic,MN,1740,2009-07-15,Unauthorized Access/Disclosure,Electronic Medical Record,2014-01-23,2009-01-01,7,3,495,23,22,14
158,LabCorp Patient Service Center,NV,507,2010-08-02,Theft,Paper,2014-01-23,2010-01-01,8,3,436,33,11,40
159,The Kent Center ,RI,1361,2010-07-13,Theft,Paper,2014-01-23,2010-01-01,7,3,822,40,11,40
160,"Pediatric and Adult Allergy, PC",IA,19222,2010-07-11,Loss,Other Portable Electronic Device,2014-01-23,2010-01-01,7,3,621,12,4,35
161,Ault Chiropractic Center,IN,2000,2010-09-15,Theft,"Laptop, Desktop Computer",2014-01-23,2010-01-01,9,3,59,15,11,17
162,County of Los Angeles,CA,33000,2010-07-29,Theft,Paper,2014-01-23,2010-01-01,7,3,202,4,11,40
163,"Matthew H. Conrad, M.D., P.A.",KS,1200,2010-08-20,Theft,"Laptop, Paper",2014-01-23,2010-01-01,8,3,494,16,11,29
164,UnitedHealth Group health plan single affiliated covered entity,MN,1270,2010-07-08,Other,Paper,2014-01-23,2010-01-01,7,3,868,23,10,40
165,Counseling and Psychotherapy of Throggs Neck,NY,9000,2010-09-06,Theft,Desktop Computer,2014-01-23,2010-01-01,9,3,201,34,11,0
166,United States Air Force,OH,2123,2010-07-29,Improper Disposal,Paper,2014-01-23,2010-01-01,7,3,865,35,2,40
167,"State of Alaska, Department of Health and Social Services",AK,2000,2010-09-07,Theft,"Other Portable Electronic Device, Other",2014-01-23,2010-01-01,9,3,772,0,11,36
168,"St. Vincent Hospital and Health Care Center, Inc.",IN,1199,2010-07-25,Theft,Laptop,2014-01-23,2010-01-01,7,3,763,15,11,16
169,Milford Regional Medical Center,MA,20000,2010-07-26,Improper Disposal,Paper,2014-01-23,2010-01-01,7,3,524,19,2,40
170,"Alliance HealthCare Services, Inc.",CA,1474,2010-07-31,Theft,"Other Portable Electronic Device, Other",2014-04-24,2010-01-01,7,3,35,4,11,36
171,"Alliance HealthCare Services, Inc.",CA,1474,2010-08-05,Theft,"Other Portable Electronic Device, Other",2014-06-24,2010-01-01,8,3,35,4,11,36
172,NewYork-Presbyterian Hospital and Columbia University Medical Center,NY,6800,2010-07-01,Theft,Network Server,2014-06-19,2010-01-01,7,3,568,34,11,30
173,St. James Hospital and Health Centers,IL,967,2010-08-10,Improper Disposal,Paper,2014-01-23,2010-01-01,8,3,752,14,2,40
174,"University of Oklahoma - Tulsa, Neurology Clinic",OK,19200,2010-07-28,Hacking/IT Incident,Desktop Computer,2014-01-23,2010-01-01,7,3,898,36,0,0
175,"LORENZO BROWN, MD INC.",CA,928,2010-08-17,Theft,Desktop Computer,2014-01-23,2010-01-01,8,3,435,4,11,0
176,"Milton Pathology Associates, P.C.",MA,11000,2010-07-26,Improper Disposal,Paper,2014-01-23,2010-01-01,7,3,526,19,2,40
177,WESTMED Medical Group,NY,578,2010-08-17,Theft,Laptop,2014-06-19,2010-01-01,8,3,934,34,11,16
178,"Debra C. Duffy, DDS",TX,4700,2010-08-05,Theft,"Laptop, Network Server",2014-01-23,2010-01-01,8,3,220,44,11,25
179,"Cumberland Gastroenterology, P.S.C.",KY,2200,2010-09-18,Theft,Paper,2014-01-23,2010-01-01,9,3,207,17,11,40
180,Johns Hopkins University Applied Physics Laboratory (JHU/APL) Medical and Dental Insurance Plan,MD,692,2010-06-15,Other,Other,2014-01-23,2010-01-01,6,2,406,20,10,34
181,LoneStar Audiology Group,TX,585,2010-08-11,Theft,Laptop,2014-01-23,2010-01-01,8,3,467,44,11,16
182,Utah Department of Health,UT,1298,2010-03-01,Other,"Desktop Computer, Paper",2014-01-23,2010-01-01,3,1,908,45,10,10
183,SW Seattle Orthopaedic and Sports Medicine,WA,9493,2010-09-04,Hacking/IT Incident,Network Server,2014-01-23,2010-01-01,9,3,690,48,0,30
184,University of Arkansas for Medical Sciences,AR,1000,2010-10-12,Theft,"Other Portable Electronic Device, Other",2014-01-23,2010-01-01,10,4,877,2,11,36
185,"BlueCross BlueShield of Tennessee, Inc.",TN,1023209,2009-10-02,Theft,Other,2014-01-23,2009-01-01,10,4,96,43,11,34
186,Northridge Hospital Medical Center,CA,716,2010-10-16,Loss,Paper,2014-01-23,2010-01-01,10,4,579,4,4,40
187,Puerto Rico Department of Health,PR,475000,2008-10-03,"Unauthorized Access/Disclosure, Hacking/IT Incident",Network Server,2014-01-23,2008-01-01,10,4,642,39,24,30
188,"Aetna, Inc.",CT,2345,2010-09-09,Unauthorized Access/Disclosure,Network Server,2014-01-23,2010-01-01,9,3,25,6,22,30
189,Sta-home Health & Hospice,MS,1104,2010-09-16,Theft,Desktop Computer,2014-01-23,2010-01-01,9,3,767,25,11,0
190,Puerto Rico Department of Health,PR,115000,2010-09-03,Unauthorized Access/Disclosure,"Other Portable Electronic Device, Other",2014-01-23,2010-01-01,9,3,642,39,22,36
191,VNA of Southeastern Ct.,CT,12000,2010-09-30,Theft,Laptop,2014-01-23,2010-01-01,9,3,919,6,11,16
192,"Prime Home Care, LLC",NE,1550,2010-09-13,Theft,Desktop Computer,2014-01-23,2010-01-01,9,3,637,29,11,0
193,Visiting Nurse Service Association of Schenectady County,NY,535,2010-09-14,Theft,Laptop,2014-06-19,2010-01-01,9,3,926,34,11,16
194,"Manor Care Indy (South), LLC.",IN,845,2010-09-11,Unauthorized Access/Disclosure,Paper,2014-01-23,2010-01-01,9,3,487,15,22,40
195,"Robert Wheatley, DDS, PC",MO,1400,2010-10-17,Theft,Laptop,2014-01-23,2010-01-01,10,4,674,24,11,16
196,Henry Ford Hospital,MI,3700,2010-09-24,Theft,Laptop,2014-01-23,2010-01-01,9,3,341,22,11,16
197,Holy Cross Hospital,FL,1500,2010-07-27,Theft,Paper,2014-01-23,2010-01-01,7,3,346,9,11,40
198,Newark Beth Israel Medical Center,NJ,1744,2010-01-01,Theft,Network Server,2014-06-19,2010-01-01,1,1,569,31,11,30
199,Memorial Hospital of Gardena,CA,771,2010-10-14,Unauthorized Access/Disclosure,Paper,2014-01-23,2010-01-01,10,4,508,4,22,40
